time,sst
3/1/1996 12:00,14.524867
4/1/1996 12:00,14.729243
5/1/1996 12:00,15.156718
6/1/1996 12:00,15.491082
7/1/1996 12:00,16.0611
8/1/1996 12:00,16.872564
9/1/1996 12:00,17.774303
10/1/1996 12:00,17.574596
11/1/1996 12:00,16.32228
12/1/1996 12:00,15.331088
1/1/1997 12:00,15.078171
2/1/1997 12:00,14.73169
3/1/1997 12:00,13.799287
4/1/1997 12:00,14.068912
5/1/1997 12:00,14.50069
6/1/1997 12:00,17.894215
7/1/1997 12:00,17.177687
8/1/1997 12:00,18.01095
9/1/1997 12:00,20.088009
10/1/1997 12:00,19.263514
11/1/1997 12:00,17.736145
12/1/1997 12:00,16.80552
1/1/1998 12:00,15.38853
2/1/1998 12:00,14.945636
3/1/1998 12:00,14.07705
4/1/1998 12:00,13.886878
5/1/1998 12:00,14.573746
6/1/1998 12:00,15.854359
7/1/1998 12:00,15.774965
8/1/1998 12:00,17.429497
9/1/1998 12:00,17.803722
10/1/1998 12:00,17.74205
11/1/1998 12:00,16.637661
12/1/1998 12:00,15.576248
1/1/1999 12:00,13.698602
2/1/1999 12:00,13.116386
3/1/1999 12:00,13.262906
4/1/1999 12:00,12.607116
5/1/1999 12:00,12.786624
6/1/1999 12:00,13.508083
7/1/1999 12:00,14.6589
8/1/1999 12:00,16.747984
9/1/1999 12:00,17.32032
10/1/1999 12:00,16.821625
11/1/1999 12:00,16.295404
12/1/1999 12:00,15.137199
1/1/2000 12:00,13.683939
2/1/2000 12:00,13.397325
3/1/2000 12:00,13.533237
4/1/2000 12:00,13.511697
5/1/2000 12:00,14.465453
6/1/2000 12:00,14.991255
7/1/2000 12:00,16.003399
8/1/2000 12:00,16.884197
9/1/2000 12:00,17.9689
10/1/2000 12:00,17.087109
11/1/2000 12:00,16.077127
12/1/2000 12:00,14.971392
1/1/2001 12:00,14.510966
2/1/2001 12:00,13.389254
3/1/2001 12:00,13.009408
4/1/2001 12:00,12.953928
5/1/2001 12:00,13.290845
6/1/2001 12:00,14.7828665
7/1/2001 12:00,16.59867
8/1/2001 12:00,16.509552
9/1/2001 12:00,17.741419
10/1/2001 12:00,17.556015
11/1/2001 12:00,16.32459
12/1/2001 12:00,15.578674
1/1/2002 12:00,14.197232
2/1/2002 12:00,12.8387575
3/1/2002 12:00,12.981028
4/1/2002 12:00,12.940933
5/1/2002 12:00,13.319823
6/1/2002 12:00,14.373921
7/1/2002 12:00,15.511087
8/1/2002 12:00,17.257545
9/1/2002 12:00,17.208883
10/1/2002 12:00,17.242985
11/1/2002 12:00,16.021967
12/1/2002 12:00,15.792795
1/1/2003 12:00,14.546955
2/1/2003 12:00,14.256028
3/1/2003 12:00,13.77515
4/1/2003 12:00,14.228082
5/1/2003 12:00,14.279496
6/1/2003 12:00,14.970503
7/1/2003 12:00,16.37664
8/1/2003 12:00,17.875044
9/1/2003 12:00,18.240038
10/1/2003 12:00,18.289637
11/1/2003 12:00,16.865034
12/1/2003 12:00,15.707011
1/1/2004 12:00,14.333056
2/1/2004 12:00,13.622402
3/1/2004 12:00,13.240689
4/1/2004 12:00,13.7808
5/1/2004 12:00,14.609607
6/1/2004 12:00,15.412849
7/1/2004 12:00,16.13843
8/1/2004 12:00,18.079214
9/1/2004 12:00,18.827288
10/1/2004 12:00,18.26827
11/1/2004 12:00,17.120611
12/1/2004 12:00,14.998398
1/1/2005 12:00,14.189242
2/1/2005 12:00,13.940342
3/1/2005 12:00,13.847238
4/1/2005 12:00,14.251066
5/1/2005 12:00,15.1371765
6/1/2005 12:00,15.765519
7/1/2005 12:00,16.110685
8/1/2005 12:00,16.974546
9/1/2005 12:00,17.341341
10/1/2005 12:00,16.731215
11/1/2005 12:00,16.870203
12/1/2005 12:00,15.256818
1/1/2006 12:00,14.880502
2/1/2006 12:00,14.233863
3/1/2006 12:00,13.743629
4/1/2006 12:00,13.362867
5/1/2006 12:00,13.613928
6/1/2006 12:00,14.949801
7/1/2006 12:00,15.56501
8/1/2006 12:00,17.999432
9/1/2006 12:00,17.283281
10/1/2006 12:00,17.571554
11/1/2006 12:00,16.446299
12/1/2006 12:00,15.401359
1/1/2007 12:00,14.037282
2/1/2007 12:00,13.409032
3/1/2007 12:00,12.706652
4/1/2007 12:00,13.326977
5/1/2007 12:00,13.92216
6/1/2007 12:00,14.69479
7/1/2007 12:00,16.673817
8/1/2007 12:00,17.777718
9/1/2007 12:00,18.144423
10/1/2007 12:00,17.619354
11/1/2007 12:00,16.384287
12/1/2007 12:00,14.771922
1/1/2008 12:00,13.409109
2/1/2008 12:00,12.883327
3/1/2008 12:00,12.495364
4/1/2008 12:00,12.604795
5/1/2008 12:00,13.015984
6/1/2008 12:00,14.311039
7/1/2008 12:00,15.552602
8/1/2008 12:00,17.169518
9/1/2008 12:00,17.189348
10/1/2008 12:00,17.613955
11/1/2008 12:00,16.081255
12/1/2008 12:00,15.775757
1/1/2009 12:00,13.923138
2/1/2009 12:00,13.735349
3/1/2009 12:00,13.205242
4/1/2009 12:00,12.685553
5/1/2009 12:00,12.613054
6/1/2009 12:00,15.0672035
7/1/2009 12:00,15.926308
8/1/2009 12:00,17.217089
9/1/2009 12:00,17.611067
10/1/2009 12:00,17.546568
11/1/2009 12:00,16.585348
12/1/2009 12:00,15.020662
1/1/2010 12:00,14.483016
2/1/2010 12:00,13.933536
3/1/2010 12:00,13.889
4/1/2010 12:00,13.599221
5/1/2010 12:00,13.701138
6/1/2010 12:00,14.685796
7/1/2010 12:00,15.052905
8/1/2010 12:00,16.317154
9/1/2010 12:00,16.693508
10/1/2010 12:00,17.340084
11/1/2010 12:00,16.97268
12/1/2010 12:00,14.811071
1/1/2011 12:00,13.745773
2/1/2011 12:00,13.748159
3/1/2011 12:00,12.923735
4/1/2011 12:00,13.810795
5/1/2011 12:00,13.603321
6/1/2011 12:00,13.945265
7/1/2011 12:00,15.240072
8/1/2011 12:00,16.418741
9/1/2011 12:00,16.845938
10/1/2011 12:00,17.72311
11/1/2011 12:00,16.82179
12/1/2011 12:00,15.268204
1/1/2012 12:00,14.304613
2/1/2012 12:00,13.601917
3/1/2012 12:00,12.53701
4/1/2012 12:00,13.327833
5/1/2012 12:00,13.739276
6/1/2012 12:00,14.556073
7/1/2012 12:00,15.986409
8/1/2012 12:00,16.501232
9/1/2012 12:00,16.885231
10/1/2012 12:00,17.200823
11/1/2012 12:00,16.920757
12/1/2012 12:00,16.155636
1/1/2013 12:00,14.181261
2/1/2013 12:00,13.515199
3/1/2013 12:00,12.84874
4/1/2013 12:00,13.558436
5/1/2013 12:00,13.640442
6/1/2013 12:00,14.792027
7/1/2013 12:00,16.430464
8/1/2013 12:00,16.382154
9/1/2013 12:00,18.934254
10/1/2013 12:00,17.98122
11/1/2013 12:00,16.349419
12/1/2013 12:00,15.401807
1/1/2014 12:00,13.999
2/1/2014 12:00,14.013916
3/1/2014 12:00,14.04506
4/1/2014 12:00,14.290088
5/1/2014 12:00,15.824308
6/1/2014 12:00,15.452502
7/1/2014 12:00,16.894072
8/1/2014 12:00,17.719542
9/1/2014 12:00,18.977974
10/1/2014 12:00,18.935762
11/1/2014 12:00,18.59852
12/1/2014 12:00,17.717768
1/1/2015 12:00,16.076927
2/1/2015 12:00,15.851569
3/1/2015 12:00,15.263563
4/1/2015 12:00,15.390476
5/1/2015 12:00,15.101791
6/1/2015 12:00,16.026354
7/1/2015 12:00,17.238592
8/1/2015 12:00,19.340418
9/1/2015 12:00,19.977852
10/1/2015 12:00,19.76247
11/1/2015 12:00,18.985851
12/1/2015 12:00,16.67538
1/1/2016 12:00,14.763579
2/1/2016 12:00,14.540956
3/1/2016 12:00,15.315011
4/1/2016 12:00,14.826662
5/1/2016 12:00,14.99311
6/1/2016 12:00,15.601435
7/1/2016 12:00,16.386917
8/1/2016 12:00,17.335426
9/1/2016 12:00,18.024807
10/1/2016 12:00,17.77107
11/1/2016 12:00,17.635733
12/1/2016 12:00,16.249342
1/1/2017 12:00,14.497868
